Timestamp;AccountNumber;Symbol;MagicNumber;Balance;Equity;FloatingPnL;Margin;FreeMargin;OpenTrades
2025.07.16 23:58;11238401;AUDUSD;0;40.93;39.13;-1.10;2.08;37.05;2
2025.07.16 23:58;11238401;NZDUSD;0;40.93;39.13;-0.70;2.08;37.05;2
2025.07.16 23:59;11238401;AUDUSD;0;40.93;39.38;-0.90;2.08;37.30;2
2025.07.16 23:59;11238401;NZDUSD;0;40.93;39.38;-0.65;2.08;37.30;2
2025.07.17 00:00;11238401;AUDUSD;0;40.93;36.50;-2.07;2.08;34.42;2
2025.07.17 00:00;11238401;NZDUSD;0;40.93;36.50;-2.36;2.08;34.42;2
2025.07.17 00:03;11238401;AUDUSD;0;40.93;36.30;-2.17;2.08;34.22;2
2025.07.17 00:03;11238401;NZDUSD;0;40.93;36.30;-2.46;2.08;34.22;2
2025.07.17 00:04;11238401;AUDUSD;0;40.93;36.50;-2.07;2.08;34.42;2
2025.07.17 00:04;11238401;NZDUSD;0;40.93;36.50;-2.36;2.08;34.42;2
2025.07.17 00:06;11238401;AUDUSD;0;40.93;37.05;-2.07;2.08;34.97;2
2025.07.17 00:06;11238401;NZDUSD;0;40.93;37.05;-1.81;2.08;34.97;2
2025.07.17 00:07;11238401;AUDUSD;0;40.93;37.50;-2.07;2.08;35.42;2
2025.07.17 00:07;11238401;NZDUSD;0;40.93;37.50;-1.36;2.08;35.42;2
2025.07.17 00:08;11238401;AUDUSD;0;40.93;37.15;-2.07;2.08;35.07;2
2025.07.17 00:08;11238401;NZDUSD;0;40.93;37.15;-1.71;2.08;35.07;2
2025.07.17 00:09;11238401;AUDUSD;0;40.93;37.15;-2.07;2.08;35.07;2
2025.07.17 00:09;11238401;NZDUSD;0;40.93;37.15;-1.71;2.08;35.07;2
2025.07.17 00:10;11238401;AUDUSD;0;40.93;37.35;-1.87;2.08;35.27;2
2025.07.17 00:10;11238401;NZDUSD;0;40.93;37.35;-1.71;2.08;35.27;2
2025.07.17 00:12;11238401;AUDUSD;0;40.93;37.15;-2.02;2.08;35.07;2
2025.07.17 00:12;11238401;NZDUSD;0;40.93;37.15;-1.76;2.08;35.07;2
2025.07.17 00:14;11238401;AUDUSD;0;40.93;37.20;-2.02;2.08;35.12;2
2025.07.17 00:14;11238401;NZDUSD;0;40.93;37.20;-1.71;2.08;35.12;2
2025.07.17 00:16;11238401;AUDUSD;0;40.93;37.35;-2.02;2.08;35.27;2
2025.07.17 00:16;11238401;NZDUSD;0;40.93;37.35;-1.56;2.08;35.27;2
2025.07.17 00:17;11238401;AUDUSD;0;40.93;37.20;-2.02;2.08;35.12;2
2025.07.17 00:17;11238401;NZDUSD;0;40.93;37.20;-1.71;2.08;35.12;2
2025.07.17 00:19;11238401;AUDUSD;0;40.93;37.95;-2.02;2.08;35.87;2
2025.07.17 00:19;11238401;NZDUSD;0;40.93;37.95;-0.96;2.08;35.87;2
2025.07.17 00:21;11238401;AUDUSD;0;40.93;36.45;-2.27;2.08;34.37;2
2025.07.17 00:21;11238401;NZDUSD;0;40.93;36.45;-2.21;2.08;34.37;2
2025.07.17 00:23;11238401;AUDUSD;0;40.93;38.85;-1.22;2.08;36.77;2
2025.07.17 00:23;11238401;NZDUSD;0;40.93;38.85;-0.86;2.08;36.77;2
2025.07.17 00:24;11238401;AUDUSD;0;40.93;39.80;-0.27;2.08;37.72;2
2025.07.17 00:24;11238401;NZDUSD;0;40.93;39.80;-0.86;2.08;37.72;2
2025.07.17 00:26;11238401;AUDUSD;0;40.93;40.55;-0.12;2.08;38.47;2
2025.07.17 00:26;11238401;NZDUSD;0;40.93;40.55;-0.26;2.08;38.47;2
2025.07.17 00:27;11238401;AUDUSD;0;40.93;39.25;-0.77;2.08;37.17;2
2025.07.17 00:27;11238401;NZDUSD;0;40.93;39.25;-0.91;2.08;37.17;2
2025.07.17 00:29;11238401;AUDUSD;0;40.93;38.35;-0.77;2.08;36.27;2
2025.07.17 00:29;11238401;NZDUSD;0;40.93;38.35;-1.81;2.08;36.27;2
2025.07.17 00:30;11238401;AUDUSD;0;40.93;38.10;-0.97;2.08;36.02;2
2025.07.17 00:30;11238401;NZDUSD;0;40.93;38.10;-1.86;2.08;36.02;2
2025.07.17 00:31;11238401;AUDUSD;0;40.93;37.55;-1.67;2.08;35.47;2
2025.07.17 00:31;11238401;NZDUSD;0;40.93;37.55;-1.71;2.08;35.47;2
